uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw	cluster	taxonomy	umap_x	umap_y
O60258	FGF17	False	67	3.945338	0.938318	40	1.2537	13	0.031343	1960	0.0	25	416.1598742167876	1	pathway_bridge	13.9439	1.8898
P31371	FGF9	False	68	3.943486	0.934584	14	2.75	7	0.196429	2030	3e-05	6	4672.894533707045	1	pathway_bridge	13.2912	0.6049
P15927	RPA2	False	75	3.941709	0.912963	2894	74.0267	704	0.025579	2576	0.0057	1773	928608.6606882786	2	structural_hub	9.6711	16.4726
P35244	RPA3	False	75	3.941709	0.912963	2864	69.7333	694	0.024348	2576	0.00525	1773	855017.6567344874	2	structural_hub	9.6892	16.4448
Q9NP95	FGF20	False	66	3.929247	0.937845	2	1.0	1	0.5	1898	0.0	1	5.991404179664041	1	pathway_bridge	12.1832	-1.2589
O15111	CHUK	False	83	3.923231	0.887842	210	21.9398	91	0.104475	3080	0.00012	66	19095.35036972355	1	pathway_bridge	14.4467	3.9144
A6NHL2	TUBAL3	False	83	3.920118	0.887137	67	5.8675	22	0.087574	3200	0.0	28	726.5644820906437	1	pathway_bridge	14.1854	2.0226
Q6PEY2	TUBA3E	False	83	3.920118	0.887137	42	5.8795	16	0.139989	3200	0.0	15	321.14446085204224	1	pathway_bridge	13.9724	1.5864
Q9NY65	TUBA8	False	83	3.920118	0.887137	90	3.5542	23	0.039491	3200	3e-05	41	5081.565256360121	1	pathway_bridge	14.1916	2.2759
O14775	GNB5	False	74	3.912696	0.90907	45	9.3784	32	0.208409	2524	2e-05	9	3591.7271147624647	1	pathway_bridge	13.5987	1.073
Q92769	HDAC2	False	79	3.906553	0.894061	851	55.7468	247	0.065507	2891	0.00093	289	151308.12987901003	2	structural_hub	11.2565	13.1613
Q9Y6K9	IKBKG	False	84	3.90602	0.881558	434	30.3214	141	0.069865	3122	0.00056	176	90821.90180738395	2	structural_hub	12.1526	10.7322
Q14738	PPP2R5D	False	94	3.903008	0.85907	159	9.4468	41	0.059414	4026	8e-05	73	12271.568196600545	1	pathway_bridge	14.4334	3.4508
P63211	GNGT1	False	75	3.899514	0.903191	22	5.1067	12	0.232121	2595	0.0	7	339.47738169234105	1	pathway_bridge	13.3386	0.5843
