gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
ACTA1	RHOJ	catalyzed by	<-	1.0	catalyze	0	inter	14	5	13.643	135.2	74.421	0.047	0.217	290	623	0.000168559618133475	0.00038609641272121137	pathway_bridge	pathway_bridge	456.5	0.0002773280154273432
ACTA1	RHOQ	catalyzed by	<-	1.0	catalyze	0	inter	14	9	13.643	82.444	48.044	0.047	0.1887	290	437	0.000168559618133475	0.0001472153393994769	pathway_bridge	pathway_bridge	363.5	0.00015788747876647596
ACTA1	RPS7	predicted	-	0.9	predicted	0	inter	14	52	13.643	76.673	45.158	0.047	0.1614	290	475	0.000168559618133475	0.00013214205182575438	pathway_bridge	pathway_bridge	382.5	0.0001503508349796147
ACTA1	TRIM63	predicted	-	0.92	predicted	0	inter	14	9	13.643	31.0	22.321	0.047	0.0957	290	324	0.000168559618133475	0.0004048640413490112	pathway_bridge	pathway_bridge	307.0	0.0002867118297412431
ACTA2	CCT5	predicted	-	0.89	predicted	0	inter	23	14	12.174	27.714	19.944	0.0354	0.053	344	523	0.0008700231647221896	0.00033903587878038256	pathway_bridge	pathway_bridge	433.5	0.0006045295217512861
ACTA2	CDH23	complex; input	-	1.0	complex	0	inter	23	4	12.174	1.0	6.587	0.0354	0.0149	344	67	0.0008700231647221896	1.1240378474048257e-05	pathway_bridge	background	205.5	0.0004406317715981189
ACTA2	CNN2	predicted	-	0.93	predicted	0	inter	23	8	12.174	6.875	9.524	0.0354	0.0849	344	81	0.0008700231647221896	1.3009028720233487e-05	pathway_bridge	pathway_bridge	212.5	0.00044151609672121153
ACTA2	DDX3X	predicted	-	0.89	predicted	0	inter	23	9	12.174	90.778	51.476	0.0354	0.1595	344	569	0.0008700231647221896	0.0002356724329266924	pathway_bridge	pathway_bridge	456.5	0.000552847798824441
ACTA2	HIP1	complex; input	-	1.0	complex	0	inter	23	8	12.174	11.0	11.587	0.0354	0.117	344	94	0.0008700231647221896	3.777543136833338e-05	pathway_bridge	pathway_bridge	219.0	0.0004538992980452615
ACTA2	HTT	complex; input	-	1.0	complex	0	inter	23	5	12.174	39.6	25.887	0.0354	0.1196	344	331	0.0008700231647221896	0.00020272449962180266	pathway_bridge	background	337.5	0.0005363738321719962
